,MSA,MSADSCR,NAICS3_x,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,ee_atp_cnt,MinWage_Cases,MinWage_ATPAmt,MinWage_EmpAff,ChildLabor_Cases,ChildLabor_ATPAmt,ChildLabor_EmpAff,BMW_Cases,BMW_ATPAmt,BMW_EmpAff,All_AtpAmt,Other_Cases,Other_ATPAmt,Other_EmpAff,ESTB,EMPL_N,PAYR_N,NAICS3,NAICS3Desc
403,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",448,1700,2124787.5,1275,425,510,44920.8,425,1105,2124787.5,850,0,0.0,0,78917.4,85,2128020.9,0,1581.0,23632.0,373109.0,448,Clothing and Clothing Accessories Stores
404,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",451,255,0.0,170,170,255,104901.9,170,0,0.0,0,0,0.0,0,314705.7,0,209803.8,0,361.0,5581.0,93670.0,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
405,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",452,2465,890120.0,1870,1275,1870,499960.65,1190,510,684420.0,425,0,0.0,0,1508551.95,85,1693011.3,255,405.0,33163.0,721650.0,452,General Merchandise Stores
406,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",453,3485,425000.0,2465,2295,3145,3166789.75,2210,0,0.0,0,0,0.0,0,19166443.45,340,15999653.7,255,918.0,6331.0,126724.0,453,Miscellaneous Store Retailers
407,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",454,1955,555815.0,850,850,1445,1240050.55,850,510,451095.0,255,0,0.0,0,2885421.9,0,1354074.65,255,610.0,6304.0,270256.0,454,Nonstore Retailers
408,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",482,10625,0.0,10540,10370,10455,150365.0,10370,0,0.0,0,0,0.0,0,225547.5,170,75182.5,170,,,,,
409,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",483,4165,0.0,1445,1445,0,0.0,0,0,0.0,0,0,0.0,0,19871442.8,4165,19871442.8,1445,1.0,0.0,0.0,483,Water Transportation
410,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",484,51510,1517505.0,43945,35360,38590,28544603.1,29920,170,112200.0,170,0,0.0,0,178819501.4,12750,150162698.3,14025,1338.0,20778.0,923023.0,484,Truck Transportation
411,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",485,2295,0.0,2125,1190,2210,747416.05,1105,0,0.0,0,0,0.0,0,1590808.15,85,843392.1,1020,152.0,2849.0,64248.0,485,Transit and Ground Passenger Transportation
412,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",486,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,9.0,0.0,0.0,486,Pipeline Transportation
413,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",488,20060,2095165.0,14790,9350,11645,13882193.2,8585,0,0.0,0,0,0.0,0,46567725.15,8415,32685531.95,6205,501.0,6834.0,266183.0,488,Support Activities for Transportation
414,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",491,28390,0.0,14025,4675,340,89244.9,255,0,0.0,0,0,0.0,0,156466831.25,28050,156377586.35,13770,,,,,
415,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",492,1105,0.0,510,510,85,0.0,0,0,0.0,0,0,0.0,0,7267064.8,1020,7267064.8,510,133.0,8422.0,384056.0,492,Couriers and Messengers
416,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",493,1360,0.0,340,340,340,703649.55,340,0,0.0,0,0,0.0,0,6948771.25,1020,6245121.7,0,394.0,28398.0,1203758.0,493,Warehousing and Storage
417,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",517,24565,0.0,22695,14875,20655,15477628.75,12750,0,0.0,0,0,0.0,0,64246215.55,3910,48768586.8,9945,386.0,6810.0,385585.0,517,Telecommunications
418,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",518,3825,0.0,1955,1955,85,0.0,0,0,0.0,0,0,0.0,0,8942292.4,3740,8942292.4,1955,51.0,1810.0,126886.0,518,"Data Processing, Hosting, and Related Services"
419,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",522,13090,0.0,12750,10540,12920,31298850.45,10540,0,0.0,0,0,0.0,0,86475467.4,170,55176616.95,2210,1494.0,16322.0,980490.0,522,Credit Intermediation and Related Activities
420,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",523,0,0.0,85,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,85,570.0,1501.0,129704.0,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities"
421,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",524,16235,450500.0,9605,1275,15810,21188813.6,1275,0,0.0,0,0,0.0,0,51847370.1,425,30658556.5,8330,1262.0,6966.0,345479.0,524,Insurance Carriers and Related Activities
422,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",531,50320,0.0,45560,45560,50320,85775698.1,45560,0,0.0,0,0,0.0,0,136525949.4,0,50750251.3,0,3149.0,12426.0,477478.0,531,Real Estate
423,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",532,3400,2186455.0,2975,1445,3400,3163725.5,1445,0,0.0,0,0,0.0,0,9491176.5,0,6327451.0,1530,557.0,4536.0,183538.0,532,Rental and Leasing Services
424,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",541,57290,1190255.0,41480,40800,29835,32969822.1,28135,170,0.0,85,0,0.0,0,145858861.0,27285,112889038.9,13260,5816.0,34155.0,1749272.0,541,"Professional, Scientific, and Technical Services"
